"nom_commercial","raison_sociale","email","telephone","website","adresse","ville","region","pays","code_postal","secteur_activite","taille_entreprise","type_entreprise","nombre_employes","chiffre_affaires","description","siren","siret","code_naf","qualification_score","score_pct","qualification","enrich_score","email_mx_verified","criteria_met","criteria_total","source","source_origin","email_valid","website_active","linkedin_url","created_at","is_converted","is_deleted","job_id","nlp_confidence","secteur_activite_id","secteur_activite_scraped","sector_confidence","updated_at"
"CONSTRUCTIONS MOCHO","CONSTRUCTIONS MOCHO","","","","104 AVENUE HENRI GINOUX 92120 MONTROUGE","Montrouge","Île-de-France","France","92120","BTP","","","","","","350977765","35097776500014","41.10A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:33.012750","","False","","0.461","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"YDRAL CONSTRUCTION","YDRAL CONSTRUCTION","contact@ydralconstruction.fr","06 42 90 47 59","https://www.ydralconstruction.fr","99-103 99 RUE DE SEVRES 75006 PARIS","Paris","Île-de-France","France","75006","BTP","","","","","Maisons neuves à vendre à RUEIL MALMAISON","309246734","30924673400078","41.10A","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:33.012750","","False","","0.55","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"CONSTRUCTION D'ARS","CONSTRUCTION D'ARS","","","https://entreprises.lefigaro.fr/construction-d-ars-77/entreprise-848994182","2 B RUE EMILE CLOUD 77700 SERRIS","Serris","Île-de-France","France","77700","BTP","","","","","Société Construction D'ars (Serris, 77700) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","848994182","84899418200014","41.10A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:33.012750","","False","","0.396","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"ELITE CONSTRUCTIONS","ELITE CONSTRUCTIONS","eliteconstructions.pro@gmail.com","","https://eliteconstructions-pro.com","1 B AVENUE JOFFRE 91800 BRUNOY","Brunoy","Île-de-France","France","91800","Informatique","","","","","Entreprise de construction professionnelle spécialisée dans la rénovation et la construction neuve. Expertise, qualité et respect des délais garantis.","890606890","89060689000022","41.10A","30","30.0","NON_QUALIFIE","1","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:33.012750","","False","","0.45","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"ONE CONSTRUCTION (ONE CONSTRUCTION)","ONE CONSTRUCTION","contact@oneconstruction.pro","","https://oneconstruction.pro/fr/about","11 RUE DE LOURMEL 75015 PARIS","Paris","Île-de-France","France","75015","BTP","","","","","About Us About Us We are a dedicated company known for quality and reliability One Construction is a Paris-based construction and renovation company","849337332","84933733200019","41.10A","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:33.012750","","False","","0.451","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"WDG CONSTRUCTIONS (SADG)","WDG CONSTRUCTIONS","ag@wdg-constructions.com","06 81 30 61 07","https://wdg-constructions.com/contacts","60 RUE JULES PICARD 95660 CHAMPAGNE-SUR-OISE","Champagne-sur-Oise","Île-de-France","France","95660","BTP","","","","","","887662153","88766215300014","41.10A","70","70.0","QUALIFIE","2","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:33.012750","","False","","0.424","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"DAUPHINE CONSTRUCTION (SELBI)","DAUPHINE CONSTRUCTION","","","https://entreprises.lefigaro.fr/selbi-06/entreprise-853006823","61 RUE DE PARIS 78100 SAINT-GERMAIN-EN-LAYE","Saint-Germain-en-Laye","Île-de-France","France","78100","BTP","","","","","Société Dauphine Construction (Saint-Germain-en-Laye, 78100) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","853006823","85300682300043","41.10A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T17:24:33.012750","","False","","0.443","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"CONSTRUCTION PRO","CONSTRUCTION PRO","","","","39 B RUE DES BERCHERES 77340 PONTAULT-COMBAULT","Pontault-Combault","Île-de-France","France","77340","BTP","","","","","","952787026","95278702600014","41.10A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:33.013352","","False","","0.478","2","Non spécifié","0.5","2026-04-21T17:24:33.013352"
"EUROPE CONSTRUCTION","EUROPE CONSTRUCTION","","","","37 RUE D'AMSTERDAM 75008 PARIS","Paris","Île-de-France","France","75008","BTP","","","","","","415066273","41506627300038","41.10A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:33.013352","","False","","0.503","2","Non spécifié","0.5","2026-04-21T17:24:33.013352"
"PERSPECTIVE CONSTRUCTION","PERSPECTIVE CONSTRUCTION","","","","15 RUE D'ASTORG 75008 PARIS","Paris","Île-de-France","France","75008","BTP","","","","","","530605740","53060574000022","41.10A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T17:24:33.013352","","False","","0.537","2","Non spécifié","0.5","2026-04-21T17:24:33.013352"
