"nom_commercial","raison_sociale","email","telephone","website","adresse","ville","region","pays","code_postal","secteur_activite","taille_entreprise","type_entreprise","nombre_employes","chiffre_affaires","description","siren","siret","code_naf","qualification_score","score_pct","qualification","enrich_score","email_mx_verified","criteria_met","criteria_total","source","source_origin","email_valid","website_active","linkedin_url","created_at","is_converted","is_deleted","job_id","nlp_confidence","secteur_activite_id","secteur_activite_scraped","sector_confidence","updated_at"
"CLOUD INITIO","CLOUD INITIO","contact@initioparfums.com","","https://initioparfums.com","10 RUE DE LA PAIX 75002 PARIS","Paris","Île-de-France","France","75002","Informatique","","","","","INITIO transgresse les règles de la parfumerie classique en renouant avec la puissance originelle des parfums. INITIO dévoile des facettes mystérieuses à travers des compositions sensorielles aux propriétés talismaniques.","884348855","88434885500013","62.02A","60","60.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T13:15:49.396562","","False","","0.5","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"ORDONNANCEM BUDGET INFORMATIQ","ORDONNANCEM BUDGET INFORMATIQ","dpo@saintcloud.fr","01 47 71 53 00","https://www.saintcloud.fr/budget","903 F RUE D ORLEANS 92210 SAINT CLOUD","Saint Cloud","Île-de-France","France","92210","Comptabilité","","","","","La présentation du budget est un acte majeur dans le calendrier communal. En ajustant les dépenses nécessaires à la réalisation des projets en fonction des recettes attendues, le budget est l'expression financière de la politique de l'équipe municipale.","709805360","70980536000019","63.11Z","60","60.0","QUALIFIE","4","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/mairie-de-saint-cloud/?viewAsMember=true","2026-04-21T13:16:05.723611","","False","","0.32","1","Non spécifié","0.5","2026-04-21T13:16:05.723611"
"KOKORI CLOUD","KOKORI CLOUD","contact@kokori.cloud","01 86 53 98 70","https://www.kokori.cloud","6 RUE D'ARMAILLE 75017 PARIS","Paris","Île-de-France","France","75017","Cloud computing","","","","","Chez Kokori.Cloud, nous avons à coeur d’améliorer le fonctionnement des Startups et PMEs en France grâce à la puissance des outils Google Workspace.","890524663","89052466300014","62.02A","50","50.0","QUALIFIE","3","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"CLOUD AUTOMATION","CLOUD AUTOMATION","","","https://entreprises.lefigaro.fr/cloud-automation-78/entreprise-853382182","40 RUE DE LA MUETTE 78600 MAISONS-LAFFITTE","Maisons-Laffitte","Île-de-France","France","78600","Informatique","","","","","Société Cloud Automation (Maisons-Laffitte, 78600) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","853382182","85338218200014","62.02A","50","50.0","QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:15:49.396562","","False","","0.339","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"MOHAMED-ISMAIL MEJRI","MOHAMED-ISMAIL MEJRI","","03 88 95 33 55","https://www.mon-informaticien.com/entreprise/mejri-mohamed-ismail-840758999","1 RUE DE BEARN 92210 SAINT-CLOUD","Saint-Cloud","Île-de-France","France","92210","Conseil IT","","","","","Faites appel à l'entreprise d'informatique MEJRI MOHAMED-ISMAIL située à Saint-Cloud (92210). Cet informaticien est notamment spécialisé en .","840758999","84075899900014","62.09Z","50","50.0","QUALIFIE","2","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:16:00.511365","","False","","0.314","1","Non spécifié","0.5","2026-04-21T13:16:00.511365"
"ALADNAN","ALADNAN","correspondant.cnil@agglovgp.fr","01 30 78 10 88","https://lacellesaintcloud.fr","9 LE MAIL 78170 LA CELLE-SAINT-CLOUD","La Celle-Saint-Cloud","Île-de-France","France","78170","Non spécifié","","","","","Site officiel de la ville de La Celle Saint-Cloud 78170","850778861","85077886100011","62.09Z","50","50.0","QUALIFIE","3","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T13:16:00.511365","","False","","0.0","1","Non spécifié","0.5","2026-04-21T13:16:00.511365"
"SAFWEE","SAFWEE","contact@safwee.com","09 70 72 72 92","https://safwee.com","11 RUE MARIUS FRANAY 92210 SAINT-CLOUD","Saint-Cloud","Île-de-France","France","92210","Non spécifié","","","","","SAFWEE est l'alliance de HOXPHONE (opérateur) et INTEGR-IP (infrastructure et réseaux) réunissant leurs savoir-faire 15 ans après leur création.","507666295","50766629500054","62.09Z","50","50.0","QUALIFIE","4","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/safwee/","2026-04-21T13:16:00.511365","","False","","0.0","1","Non spécifié","0.5","2026-04-21T13:16:00.511365"
"ASSESSFIRST","ASSESSFIRST","hello@assessfirst.com","01 84 13 00 00","https://www.assessfirst.com/fr","10 RUE DE LA PAIX 75002 PARIS","Paris","Île-de-France","France","75002","Non spécifié","","","","","Recrutez plus vite, réduisez le turnover et boostez les performances RH avec notre IA prédictive et nos évaluations fiables.","443179684","44317968400057","58.29A","50","50.0","QUALIFIE","4","False","6","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/assessfirst/","2026-04-21T13:16:13.728323","","False","","0.0","1","Non spécifié","0.5","2026-04-21T13:16:13.728323"
"HBFS CLOUD","HBFS CLOUD","","","https://hbfs-cloud.com","27 RUE DE LA TREILLE 95490 VAUREAL","Vaureal","Île-de-France","France","95490","Cybersécurité","","","","","","898210646","89821064600011","62.02A","40","40.0","NON_QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:15:49.396562","","False","","0.357","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"CLOUD PANDA","CLOUD PANDA","cloudpanda.pro@gmail.com","07-67-54-99-25","https://cloudpanda.fr","29 RUE DES FAVORITES 75015 PARIS","Paris","Île-de-France","France","75015","Cloud computing","","","","","","902585124","90258512400016","62.02A","40","40.0","NON_QUALIFIE","2","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"OSIRIS CLOUD","OSIRIS CLOUD","","03 88 95 33 55","https://www.mon-informaticien.com/entreprise/osiris-cloud-890254048","49 AVENUE DU 18 JUIN 1940 92500 RUEIL-MALMAISON","Rueil-Malmaison","Île-de-France","France","92500","Cloud computing","","","","","Faites appel à l'entreprise d'informatique OSIRIS CLOUD (SAS) située à Rueil-Malmaison (92500). Cet informaticien est notamment spécialisé en .","890254048","89025404800014","62.02A","40","40.0","NON_QUALIFIE","2","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"CLOUD AMBIANCE (CLOUD AMBIANCE)","CLOUD AMBIANCE","info@cloudambiance.com","+41228203544","https://www.cloudambiance.com/fr","CS70049 42 RUE DE MAUBEUGE 75009 PARIS","Paris","Île-de-France","France","75009","Intelligence artificielle","","","","","Cloud Ambiance, partenaire Salesforce, vous conseille et vous accompagne à chaque étape de votre implémentation. Audit et Démo gratuite sur demande.","812796225","81279622500033","62.02A","40","40.0","NON_QUALIFIE","3","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","https://www.linkedin.com/company/cloud-ambiance/","2026-04-21T13:15:49.396562","","False","","0.5","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"CLOUD-INSPIRE","CLOUD-INSPIRE","privacy@cloud-inspire.io","","https://cloud-inspire.io/fr/mention-legale","6 AVENUE GABRIEL PERI 92500 RUEIL-MALMAISON","Rueil-Malmaison","Île-de-France","France","92500","Cloud computing","","","","","","847515178","84751517800014","62.02A","40","40.0","NON_QUALIFIE","3","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/cloud-inspire-sas/","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"EDGEE CLOUD","EDGEE CLOUD","contact@edgee.fr","","https://www.edgee.fr","9 RUE DES COLONNES 75002 PARIS","Paris","Île-de-France","France","75002","Cloud computing","","","","","Edgee est une agence événementielle fun, flex & fair située à Paris.","979731296","97973129600013","62.02A","40","40.0","NON_QUALIFIE","2","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"CLOUD INIT","CLOUD INIT","","","","76 ALLEE DES BOCAGES 77177 BROU-SUR-CHANTEREINE","Brou-sur-Chantereine","Île-de-France","France","77177","Informatique","","","","","","922369699","92236969900017","62.02A","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:15:49.396562","","False","","0.5","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"SMARTTLE","SMARTTLE","info@smarttle.com","06-09-61-70-20","http://www.smarttle.com/wp","11 RUE DU MONT VALERIEN 92210 SAINT-CLOUD","Saint-Cloud","Île-de-France","France","92210","Intelligence artificielle","","","","","Plateforme web pour réaliser des bilans carbone, du reporting environnemental multi-site, du suivi d'indicateurs environnementaux (tableaux de bord), un calculateur carbone en ligne, des enquêtes en ligne, sondage en ligne, espaces collaboratifs, sites intranets,...","529065443","52906544300028","62.09Z","40","40.0","NON_QUALIFIE","2","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:16:00.511365","","False","","0.324","1","Non spécifié","0.5","2026-04-21T13:16:00.511365"
"INFOPROD (CONSULTING & INGENIERIE - INFOTRAD - FINANCIAL CONSULTING)","INFOPROD","","","","47 RUE DE LA CHAPELLE 75018 PARIS","Paris","Île-de-France","France","75018","Informatique","","","","","","817507858","81750785800030","62.09Z","40","40.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:16:00.511365","","False","","0.407","1","Non spécifié","0.5","2026-04-21T13:16:00.511365"
"YUSI (YUSI)","YUSI","contact@rubypayeur.com","","https://rubypayeur.com/societe/yusi-519261101","26 RUE DES CROISSANTS 92380 GARCHES","Garches","Île-de-France","France","92380","Non spécifié","","","","","Toutes les infos sur YUSI : Dirigeants, chiffre d'affaires, bilans, statuts, effectif... Découvrez sa notation 🚦","519261101","51926110100033","63.11Z","40","40.0","NON_QUALIFIE","2","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T13:16:05.723611","","False","","0.0","1","Non spécifié","0.5","2026-04-21T13:16:05.723611"
"ESPACE IMAGE INFORMATIQUE","ESPACE IMAGE INFORMATIQUE","","","https://app.dataprospects.fr/entreprises/ESPACE-IMAGE-INFORMATIQUE/342864790","17 RUE DES COULONS 78810 FEUCHEROLLES","Feucherolles","Île-de-France","France","78810","Conseil IT","","","","","ESPACE IMAGE INFORMATIQUE est une Socit  responsabilit limite (sans autre indication). Le SIREN qui lui a été attribué est le 342864790. Son année de création est 1987, il y a 39 ans. Son siège social est domicilié à FEUCHEROLLES - 78810. Son code NAF attribué est le 6311Z (Traitement de donnes, hbergement et activits connexes).","342864790","34286479000031","63.11Z","40","40.0","NON_QUALIFIE","1","False","5","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:16:05.723611","","False","","0.398","1","Non spécifié","0.5","2026-04-21T13:16:05.723611"
"CLOUD CONSULT","CLOUD CONSULT","","","https://www.dnb.com/business-directory/company-profiles.cloud_consult.26a47b5e5c5af14220d28788a522dd60.html","3 AVENUE DE MONTESPAN 75016 PARIS","Paris","Île-de-France","France","75016","Ressources humaines","","","","","","753366277","75336627700014","62.02A","30","30.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:15:49.396055","","False","","0.429","1","Non spécifié","0.5","2026-04-21T13:15:49.396055"
"CLOUD CORPORATION (WIZZCAD)","CLOUD CORPORATION","","","https://arpajon.cataloxy.org/firms/www.wizzcad.com.htm","8 B RUE HENRI BARBUSSE 91290 ARPAJON","Arpajon","Île-de-France","France","91290","Commerce de détail","","","","","","798693578","79869357800048","62.02A","30","30.0","NON_QUALIFIE","1","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:15:49.396562","","False","","0.363","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"CLOUD UP","CLOUD UP","","","https://www.dnb.com/business-directory/company-profiles.cloud_up.d343ac9a77904274ecc549837a9eeb2a.html","BATIMENT F1 16 RUE DE MARNES 92410 VILLE-D'AVRAY","Ville-d'Avray","Île-de-France","France","92410","Cloud computing","","","","","","891937575","89193757500019","62.02A","30","30.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"CLOUD COMMS","CLOUD COMMS","","","https://www.dnb.com/business-directory/company-profiles.cloud_comms.be2da6b4241d1dca9f701198af176a14.html","18 AVENUE DE RUEIL 92420 VAUCRESSON","Vaucresson","Île-de-France","France","92420","Cloud computing","","","","","","523341543","52334154300024","62.02A","30","30.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"TETRA CLOUD (TETRA CLOUD)","TETRA CLOUD","","","https://tetracloudsol.com","14 ALLEE DES SAISONS 93230 ROMAINVILLE","Romainville","Île-de-France","France","93230","Cloud computing","","","","","","909167157","90916715700017","62.02A","30","30.0","NON_QUALIFIE","1","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"DOJO CLOUD","DOJO CLOUD","","","https://entreprises.lefigaro.fr/dojo-cloud-93/entreprise-909774994","90 AVENUE DE PARIS 94300 VINCENNES","Vincennes","Île-de-France","France","94300","Cloud computing","","","","","Société Dojo Cloud (Vincennes, 94300) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","909774994","90977499400026","62.02A","30","30.0","NON_QUALIFIE","1","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"CLOUD CONSULTANTS","CLOUD CONSULTANTS","","","https://claude.ai","56 ALLEE DES COTEAUX 93340 LE RAINCY","Le Raincy","Île-de-France","France","93340","Ressources humaines","","","","","Claude is Anthropic's AI, built for problem solvers. Tackle complex challenges, analyze data, write code, and think through your hardest work.","980304661","98030466100013","62.02A","30","30.0","NON_QUALIFIE","1","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:15:49.396562","","False","","0.4","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"BEH CLOUD","BEH CLOUD","","","https://entreprises.annuairefrancais.fr/91350/beh-cloud-grigny-91-essonne-898422969-00011.html","6 RUE VLAMINCK 91350 GRIGNY","Grigny","Île-de-France","France","91350","Cloud computing","","","","","BEH CLOUD (siren n° 898422969) est installé dans la commune de Grigny à l'adresse 6 RUE VLAMINCK dans le département de l'Essonne téléphone... BEH CLOUD est référencé dans l'Annuaire Français dans la catégorie informatique Ssii, informations complètes Bilans gratuits, statuts, chiffre d'affaires, dirigeants, actionnaires, levées de fonds, annonces légales, APE, NAF, TVA, RCS, KBIS, SIREN, SIRET, BODACC, INSEE, INPI.","898422969","89842296900011","62.02A","30","30.0","NON_QUALIFIE","1","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"AMAYAS CLOUD CYBERSECURITY","AMAYAS CLOUD CYBERSECURITY","","","","110 RUE JULES GUESDE 92300 LEVALLOIS-PERRET","Levallois-Perret","Île-de-France","France","92300","Cybersécurité","","","","","","910019017","91001901700011","62.09Z","30","30.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:16:00.511365","","False","","0.589","1","Non spécifié","0.5","2026-04-21T13:16:00.511365"
"SYLVAIN POTHELUNE","SYLVAIN POTHELUNE","","","https://entreprises.annuairefrancais.fr/92210/sylvain-pothelune-saint-cloud-92-hauts-de-seine-512599770-00017.html","4 RUE DU CAMP CANADIEN 92210 SAINT-CLOUD","Saint-Cloud","Île-de-France","France","92210","Non spécifié","","","","","SYLVAIN POTHELUNE (siren n° 512599770) est installé dans la commune de Saint-Cloud à l'adresse 4 RUE DU CAMP CANADIEN dans le département des Hauts de seine téléphone... SYLVAIN POTHELUNE est référencé dans l'Annuaire Français dans la catégorie informatique Autres, informations complètes Bilans gratuits, statuts, chiffre d'affaires, dirigeants, actionnaires, levées de fonds, annonces légales, APE, NAF, TVA, RCS, KBIS, SIREN, SIRET, BODACC, INSEE, INPI.","512599770","51259977000017","62.09Z","30","30.0","NON_QUALIFIE","1","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:16:00.511365","","False","","0.0","1","Non spécifié","0.5","2026-04-21T13:16:00.511365"
"JACQUES VOGEL","JACQUES VOGEL","","","https://entreprises.annuairefrancais.fr/78170/jacques-vogel-la-celle-saint-cloud-78-yvelines-535213680-00015.html","4 RESIDENCE ELYSEE 1 43 AVENUE DE LA JONCHERE 78170 LA CELLE-SAINT-CLOUD","La Celle-Saint-Cloud","Île-de-France","France","78170","Non spécifié","","","","","JACQUES VOGEL (siren n° 535213680) est installé dans la commune de La Celle-Saint-Cloud à l'adresse 43 AVENUE DE LA JONCHERE dans le département des Yvelines téléphone... JACQUES VOGEL est référencé dans l'Annuaire Français dans la catégorie informatique Autres, informations complètes Bilans gratuits, statuts, chiffre d'affaires, dirigeants, actionnaires, levées de fonds, annonces légales, APE, NAF, TVA, RCS, KBIS, SIREN, SIRET, BODACC, INSEE, INPI.","535213680","53521368000015","62.09Z","30","30.0","NON_QUALIFIE","1","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:16:00.511365","","False","","0.0","1","Non spécifié","0.5","2026-04-21T13:16:00.511365"
"ATOM (CENTRYC)","ATOM","","","https://www.dnb.com/business-directory/company-profiles.atom.794a404ef8050e783c482cb6ac871589.html","9 HAU LES PIVERTS 78170 LA CELLE-SAINT-CLOUD","La Celle-Saint-Cloud","Île-de-France","France","78170","Non spécifié","","","","","","901397471","90139747100011","63.11Z","30","30.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:16:05.723611","","False","","0.0","1","Non spécifié","0.5","2026-04-21T13:16:05.723611"
"DI.MA.INFO.","DI.MA.INFO.","","","","16 B RUE PORTALIS 75008 PARIS","Paris","Île-de-France","France","75008","Conseil IT","","","","","","349814632","34981463200023","63.11Z","30","30.0","NON_QUALIFIE","0","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:16:05.723611","","False","","0.447","1","Non spécifié","0.5","2026-04-21T13:16:05.723611"
"LOUIS DELSOL","LOUIS DELSOL","","","https://entreprises.lefigaro.fr/monsieur-louis-delsol-78/entreprise-923265086","51 RESIDENCE ELYSEE 2 78170 LA CELLE-SAINT-CLOUD","La Celle-Saint-Cloud","Île-de-France","France","78170","Non spécifié","","","","","Société Monsieur Louis Delsol (La Celle-Saint-Cloud, 78170) : numéro siret, siren, information, adresse, contact, numero tva intracommunautaire...","923265086","92326508600010","63.11Z","30","30.0","NON_QUALIFIE","1","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:16:05.723611","","False","","0.0","1","Non spécifié","0.5","2026-04-21T13:16:05.723611"
"UNIFEYES","UNIFEYES","","","https://paris.cataloxy.org/firms/www.unifeyes.com.htm","111 AVENUE VICTOR HUGO 75016 PARIS","Paris","Île-de-France","France","75016","Non spécifié","","","","","","503700171","50370017100039","58.29A","30","30.0","NON_QUALIFIE","1","False","4","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","True","","2026-04-21T13:16:13.728323","","False","","0.0","1","Non spécifié","0.5","2026-04-21T13:16:13.728323"
"909 CLOUD","909 CLOUD","","","","25 RUE DU MARECHAL FOCH 78000 VERSAILLES","Versailles","Île-de-France","France","78000","Cloud computing","","","","","","897410338","89741033800023","62.02A","20","20.0","NON_QUALIFIE","0","False","3","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"BLUE CLOUD (BLUE CLOUD) (BLUE CLOUD)","BLUE CLOUD","","","","5 RUE CARDUCCI 75019 PARIS","Paris","Île-de-France","France","75019","Cloud computing","","","","","","830477691","83047769100018","62.02A","20","20.0","NON_QUALIFIE","0","False","3","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"CLOUD SKUNKWORKS","CLOUD SKUNKWORKS","","","","7 RUE DE L'AMIRAL COURBET 78800 HOUILLES","Houilles","Île-de-France","France","78800","Cloud computing","","","","","","901490359","90149035900022","62.02A","20","20.0","NON_QUALIFIE","0","False","3","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
"HEY CLOUD","HEY CLOUD","","","","104 RUE CARNOT 93100 MONTREUIL","Montreuil","Île-de-France","France","93100","Cloud computing","","","","","","842870016","84287001600032","62.02A","20","20.0","NON_QUALIFIE","0","False","3","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","False","False","","2026-04-21T13:15:49.396562","","False","","1.0","1","Non spécifié","0.5","2026-04-21T13:15:49.396562"
