"nom_commercial","raison_sociale","email","telephone","website","adresse","ville","region","pays","code_postal","secteur_activite","taille_entreprise","type_entreprise","nombre_employes","chiffre_affaires","description","siren","siret","code_naf","qualification_score","score_pct","qualification","enrich_score","email_mx_verified","criteria_met","criteria_total","source","source_origin","email_valid","website_active","linkedin_url","created_at","hash_dedup","is_converted","is_deleted","job_id","nlp_confidence","raw_text","score_detail","secteur_activite_id","secteur_activite_scraped","sector_confidence","updated_at"
"YDRAL CONSTRUCTION","YDRAL CONSTRUCTION","contact@ydralconstruction.fr","06 42 90 47 59","https://www.ydralconstruction.fr","99-103 99 RUE DE SEVRES 75006 PARIS","Paris","Île-de-France","France","75006","BTP","","","","","Maisons neuves à vendre à RUEIL MALMAISON","309246734","30924673400078","41.10A","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:33.012750","7acc18b8cf9f3d71","","False","","0.55","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""contact@ydralconstruction.fr""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.ydralconstruction.fr""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""06 42 90 47 59""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"WDG CONSTRUCTIONS (SADG)","WDG CONSTRUCTIONS","ag@wdg-constructions.com","06 81 30 61 07","https://wdg-constructions.com/contacts","60 RUE JULES PICARD 95660 CHAMPAGNE-SUR-OISE","Champagne-sur-Oise","Île-de-France","France","95660","BTP","","","","","","887662153","88766215300014","41.10A","70","70.0","QUALIFIE","2","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:33.012750","25343abf2d2c6d8c","","False","","0.424","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""ag@wdg-constructions.com""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://wdg-constructions.com/contacts""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""06 81 30 61 07""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:33.012750"
"IDOINE CONSTRUCTION","IDOINE CONSTRUCTION","alemaire@idoine.fr","06 37 78 27 32","https://idoine.com","19-21 19 RUE DU BOULOI 75001 PARIS","Paris","Île-de-France","France","75001","BTP","","","","","","914262191","91426219100010","41.20A","70","70.0","QUALIFIE","4","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/idoine-design-and-build/","2026-04-21T17:24:44.166533","33d9c39af5ba72b6","","False","","0.366","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""alemaire@idoine.fr""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://idoine.com""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""06 37 78 27 32""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"INOV CONSTRUCTION (INOV CONSTRUCTION)","INOV CONSTRUCTION","contact@inovconstruction.fr","01 72 52 35 09","https://inovconstruction.fr","1 RUE LE NOTRE 95190 GOUSSAINVILLE","Goussainville","Île-de-France","France","95190","BTP","","","","","Travaux Construction neuve rénovation Gros Œuvre - Maçonnerie - façade et isolation, Carrelage en intérieur et extérieur","818502841","81850284100054","41.20A","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:44.166533","7efb47c883019fc3","","False","","0.374","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""contact@inovconstruction.fr""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://inovconstruction.fr""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""01 72 52 35 09""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:44.166533"
"VALENTE CONSTRUCTION","VALENTE CONSTRUCTION","valente@valente-construction.fr","06.50.14.98.18","https://www.valente-construction.fr","243 RUE ROBERT FOURNIER 77120 MOUROUX","Mouroux","Île-de-France","France","77120","BTP","","","","","Valente Construction est spécialisé dans la construction de maison traditionnelle et moderne en Seine et Marne ... Nous proposons également des constructions de maison haut de gamme.","388292005","38829200500039","41.20B","70","70.0","QUALIFIE","4","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","https://www.linkedin.com/company/25261465/admin/updates/","2026-04-21T17:24:54.499476","6fc44172e8f4c6e1","","False","","0.566","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""valente@valente-construction.fr""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.valente-construction.fr""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""06.50.14.98.18""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"NC CONSTRUCTIONS","NC CONSTRUCTIONS","contact@nc-constructions.fr","06 99 03 17 86","https://www.nc-constructions.fr/service/entreprise-construction-paris","266 AVENUE DAUMESNIL 75012 PARIS","Paris","Île-de-France","France","75012","BTP","","","","","","828985382","82898538200013","41.20B","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:54.499476","cc4089ac32fe7213","","False","","0.496","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""contact@nc-constructions.fr""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.nc-constructions.fr/service/entreprise-construction-paris""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""06 99 03 17 86""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"EDILE CONSTRUCTION (S.C.G.E. EDILE CONSTRUCTION)","EDILE CONSTRUCTION","edile@edileconstruction.com","01 70 27 90 00","https://edileconstruction.fr","80 AVENUE DE LA GRANDE ARMEE 75017 PARIS","Paris","Île-de-France","France","75017","BTP","","","","","EDILE Construction - Entreprise générale de bâtiment en France.","377700554","37770055400050","41.20B","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:54.499476","44b99defb8514f56","","False","","0.461","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""edile@edileconstruction.com""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://edileconstruction.fr""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""01 70 27 90 00""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"ACM CONSTRUCTION","ACM CONSTRUCTION","infos@acmconstruction.fr","09 72 11 40 82","https://www.acmconstruction.fr","91 AVENUE SAINT JACQUES 91600 SAVIGNY-SUR-ORGE","Savigny-sur-Orge","Île-de-France","France","91600","BTP","","","","","","484277710","48427771000022","41.20B","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:54.499476","e2cb97d7d9c312c6","","False","","0.396","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""infos@acmconstruction.fr""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.acmconstruction.fr""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""09 72 11 40 82""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"EU CONSTRUCTION","EU CONSTRUCTION","contact@euconstruction.eu","+33781139835","https://www.euconstruction.fr","1-3 1 RUE D'ENGHIEN 75010 PARIS","Paris","Île-de-France","France","75010","BTP","","","","","","520782061","52078206100011","41.20B","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:54.499476","9c6b063f53e2830f","","False","","0.491","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""contact@euconstruction.eu""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://www.euconstruction.fr""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""+33781139835""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:54.499476"
"AMA CONSTRUCTION","AMA CONSTRUCTION","hello@ama-renovation.fr","06 50 55 63 01","https://ama-renovation.fr/construction","100 AVENUE DU GENERAL LECLERC 93500 PANTIN","Pantin","Île-de-France","France","93500","BTP","","","","","","523722668","52372266800028","41.20B","70","70.0","QUALIFIE","3","False","7","9","annuaire-entreprises.data.gouv.fr","annuaire-entreprises.data.gouv.fr","True","True","","2026-04-21T17:24:54.500487","e1c0607d72f7ecb6","","False","","0.418","","{""sector_match"": {""points"": 20, ""max"": 20, ""note"": ""match:Construction & btp""}, ""size_match"": {""points"": 0, ""max"": 15, ""note"": ""no_size_data""}, ""type_match"": {""points"": 0, ""max"": 15, ""note"": ""no_type_data""}, ""geo_match"": {""points"": 10, ""max"": 10, ""note"": ""region:île-de-france""}, ""email_valid"": {""points"": 10, ""max"": 10, ""note"": ""hello@ama-renovation.fr""}, ""website_active"": {""points"": 10, ""max"": 10, ""note"": ""https://ama-renovation.fr/construction""}, ""phone_present"": {""points"": 10, ""max"": 10, ""note"": ""06 50 55 63 01""}, ""name_complete"": {""points"": 5, ""max"": 5, ""note"": """"}, ""raison_sociale"": {""points"": 5, ""max"": 5, ""note"": """"}}","2","Non spécifié","0.5","2026-04-21T17:24:54.500487"
